section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs,conn
1245,王磊说此时自己已经有了担心害怕孩子真的被弄错了王磊介绍在自己将写错了的出院小结递给院方一名工作人员时对方立即将出院小结毁掉又重新打了一份但出院日期又写错了写成了15号主治医生也没有签名王磊说一系列的事情让自己担心所以希望做亲子鉴定,115,13,"[3, 10, 10, 4, 23, 11, 7, 9, 6, 9, 3, 11, 9]",[2],[[3]],"[[2, 3]]",但而更由就但但但就而但但但
1246,阿根廷一名母亲十年如一日亲自寻找女儿的下落她冒着危险扮做卖淫女或老鸨深入一家家妓院寻找线索其间解救了数百名性奴还在阿根廷掀起一场打拐运动成为民众心目中的英雄但悲情的是她至今仍未找到女儿更让人失望的是她费尽心力送上法庭的13名绑架嫌犯竟被法庭无罪开释,124,9,"[21, 24, 10, 13, 10, 5, 9, 7, 25]",[8],[[9]],"[[8, 9]]",而当但但而而但但由
1247,2002年的一天时年23岁的女儿玛丽亚·德洛斯·安赫莱斯·韦龙出门看医生从此消失报警后警方的冷漠态度令苏珊娜深感失望她决心靠自己多天寻访后她从一名出租车司机那里打听到他曾载着韦龙进入一家妓院韦龙在那里遭人毒打被迫卖淫苏珊娜拉着丈夫和时年3岁的外孙女米卡埃拉踏上寻找女儿的征程,137,12,"[8, 28, 4, 3, 15, 6, 5, 14, 12, 9, 4, 29]",[5],[[5]],"[[5, 5]]",而与但但而但更但但而因但
1248,苏珊娜的母爱勇气和执著令人赞叹2007年她获得美国国务院颁发的勇敢女性奖不久前她又从阿根廷总统克里斯蒂娜·费尔南德斯手中接过阿根廷人权奖更可喜的是她一个人对抗人口贩卖的战争逐渐变成一场社会运动2008年阿根廷把禁止贩卖人口写入法律此外美国国务院提供资金成立以韦龙的名字命名的基金会专门帮助阿根廷解救被迫从事卖淫的女性迄今已帮助900多人脱离火坑,172,14,"[15, 5, 16, 3, 29, 5, 23, 5, 14, 2, 9, 14, 18, 14]","[1, 6]","[[1], [7]]","[[1, 1], [6, 7]]",而由因而而但当由而而由而更但而由因而而而当由而但由而而但
1250,在韦龙家乡图库曼和首都布宜诺斯艾利斯都有妇女组织和人权组织上街游行抗议这个判决阿根廷安全部长尼尔达·加尔说这个判决是对司法正义的一记耳光有政客威胁要弹劾法官指三名法官收受了贿赂阿根廷总统克里斯蒂娜亲自打电话给苏珊娜称自己对判决感到诧异和愤怒克里斯蒂娜说我跟她说我永远是你的靠山她却回答说总统别担心我会继续战斗的,155,14,"[18, 15, 6, 14, 15, 10, 10, 19, 13, 10, 8, 5, 5, 7]",[9],[[9]],"[[9, 9]]",但但但但但更更而或但但但但但
1251,没想到有人摸到床上来偷东西太可怕了周末早上陌生男子潜入大学女生宿舍将手伸进熟睡女生被窝里偷走电脑后还成功逃脱回忆当时的情景湖南中医药大学含浦校区大二女生王琦化名仍心有余悸,85,8,"[13, 4, 4, 12, 11, 10, 7, 24]",[8],[[7]],"[[8, 7]]",却但但与却但当而
1252,10月末小华认识了26岁的白领小荣小荣很机灵在一次电影散场后小荣让小华开车送她回家以检验他是否真的有车小华害怕谎言被拆穿就带着小荣在停车场内转了一圈然后谎称自己的钱包和钥匙丢了还拉着小荣陪他在附近找了半天最后他还煞有其事地指着一辆轿车叮嘱保安这辆车是我的我去找车钥匙你帮我看好,138,14,"[4, 13, 5, 8, 11, 10, 9, 14, 14, 14, 2, 23, 6, 5]",[7],[[7]],"[[7, 7]]",但而但但而而而就但但而而当但
1253,妞妞在家中排行老二姐姐在五家渠第一中学读高三平日里姐妹俩关系可铁了按姚女士的话大丫头要知道妹妹没了指不定伤心成什么样呢因为怕耽误大丫头学习没敢让她知道这事姚女士说妞妞入院前的周末大丫头学校没放假妞妞让姚女士给大丫头做了好吃的一起送去,116,13,"[9, 13, 3, 8, 6, 10, 10, 10, 8, 4, 8, 8, 19]",[7],[[6]],"[[7, 6]]",而与但但就但但就却但与当而
1254,眼看饱受病痛折磨的病人要治愈出院主治医师甚是高兴要求给这位80多岁的老太太一个深情拥抱不承想这一抱竟导致病人再次卧床不起病情恶化11月10日郑州市惠济区法院向媒体透露法院用调解方式化解了这起医疗损害纠纷案被告医院赔偿老人医疗费精神损害抚慰金等各项损失共21万元并向老人赔礼道歉老人家人最终原谅了这位好心医生的鲁莽行为,158,9,"[16, 8, 19, 21, 6, 32, 28, 8, 20]",[2],[[1]],"[[2, 1]]",但而更却由但由但但
1255,张医生至今对自己的鲁莽行为后悔不迭今年46岁的张医生是郑州一家医院的康复医学科主任医师张医生对病人态度和蔼也很乐于助人在医疗圈内口碑很好2010年1月张医生受其他医院邀请参加了一位患有类风湿性关节炎骨质疏松腰椎压缩性骨折的患者的会诊给患者家属留下了良好印象,128,9,"[17, 26, 10, 6, 9, 7, 10, 31, 12]",[1],[[1]],"[[1, 1]]",而而但但但而但因但
1256,2010年2月由于这位姓刘的老太太病情一直不见好转刘老太太被转院到张医生所在医院并由张医生担任这位80多岁老太太的主治医师经过7个多月的精心治疗刘老太太的病情有了明显好转能够自己独立上卫生间并且每天能够坚持独立行走50米左右看到刘老太太的康复情况张医生和病人家属都很高兴,135,10,"[7, 18, 15, 21, 11, 13, 10, 17, 11, 12]",[10],[[9]],"[[10, 9]]",而但但因但但但但当而
1257,医院赔21万元双方握手言和事情发生后张医生所在的医院积极给予治疗并免除了自9月18日开始的除医保卡以外的治疗费张医生也很自责对于自己造成的后果懊恼不已法庭上张医生和医院多次对刘老太太家人表达深深的歉意并提交了书面道歉信刘老太太及其家人亦对张医生和医院表示谅解经法官耐心调解双方达成和解,142,12,"[7, 11, 14, 23, 7, 13, 3, 22, 9, 20, 7, 6]",[6],[[6]],"[[6, 6]]",总当由但而但如但但而但但
1258,昨天早上8点多恰逢家长送孩子上学扬子晚报记者在幼儿园大门前发现在大门内侧有一个女老师正在迎接孩子们有小孩进门时她都会上前拥抱一下面对老师的拥抱孩子显得都很开心带着微笑一路小跑进自己的教室现场数位送孩子的家长表示他们只知道孩子每天上学放学都会与老师拥抱但对于幼儿园收取拥抱费却并不知情,141,12,"[7, 9, 15, 18, 6, 9, 7, 8, 14, 12, 20, 16]",[8],[[7]],"[[8, 7]]",而但但就当但当而就而但但
1259,8日凌晨4时10分43岁的女司机吴某驾苏ED26××轿车载着4名乘员由南京返回苏州当轿车行至沪蓉高速242公里句容站附近时突然感到头昏不适让人难以想象的是仅仅在短短几秒钟的时间内吴某竟突然眼前一片漆黑双目失明就在这危急时刻好在吴某果断踩下了刹车并将车转到了路边很快吴某便昏迷过去车上乘员为此惊恐万分发现情况不对立即向警方报警求助,164,15,"[9, 32, 20, 8, 8, 12, 11, 4, 7, 11, 8, 9, 10, 6, 9]",[13],[[12]],"[[13, 12]]",而而而因更但而因而但但但而如便
1260,这几天平日里与儿媳妇和睦相处的长春市民赵阿姨却与媳妇生起了闷气我给孩子买吃的也是为了让他生活得好一点面对儿媳妇的质疑和埋怨赵阿姨心里觉得非常委屈赵阿姨觉得媳妇对孙子乐乐的教育有点过分连一点零食都不让他吃孩子实在太可怜了,109,10,"[3, 28, 7, 12, 11, 11, 5, 14, 10, 8]",[6],[[5]],"[[6, 5]]",但但但但但而但而就但
1261,我给孩子买东西花的是自己的钱她还不乐意对于儿媳的态度赵阿姨非常不理解你别给他买零食吃了现在你给他买以后养成习惯了没人给他买他要是学着去偷去抢怎么办一天儿媳妇对赵阿姨来了这么一段话让赵阿姨心里又气又急赵阿姨觉得儿媳妇太不懂事故意找茬可不久之后连儿子也跑来埋怨她说乐乐最近没长个儿都是因为赵阿姨让乐乐吃了太多的零食儿子儿媳的态度让老人非常伤心最近因为乐乐的问题一家人相处得很别扭,187,22,"[7, 7, 5, 7, 8, 9, 6, 7, 5, 12, 2, 14, 10, 12, 4, 5, 9, 9, 17, 14, 9, 9]","[13, 20]","[[12], [20]]","[[13, 12], [20, 20]]",但但但而但但但但但但就但更但故但就就但但而但但但但而但但但但但但就但更但故但就虽但而而但
1263,3万元如愿到手杜某喜不自禁2009年农历二月初九杜晓栓和孟小云结婚晚上客人散尽一家人突然发现新娘子不见了原来杜某怕杜晓栓洞房花烛时发现孟小云已有身孕的事实会弄出更多麻烦再说他也不甘心自己的孩子将来叫侄子为爹杜某遂偷偷联系孟小云连夜出逃杜大兴全家人到处找新娘也没有找到便去找杜某结果杜某也找不到了,147,15,"[7, 6, 11, 9, 6, 7, 6, 2, 23, 7, 19, 14, 16, 5, 9]",[2],[[1]],"[[2, 1]]",但而而因但但而但而总但而而就但
1264,在松原火车站前徘徊半天后李磊在好心人指点下来到位于车站附近的松原市宁江二分局建设派出所求助据接待李磊的民警王立成介绍当时这个小伙子不住地后悔连说自己被人骗了他的遭遇挺可怜的身上还没有一分钱为了防止他发生意外我就给他200元钱算是以一位老大哥的身份帮助他,126,11,"[12, 9, 24, 13, 12, 8, 8, 8, 9, 9, 14]",[5],[[6]],"[[5, 6]]",就但就而而就但但但但就
1265,三个多月后的一天夫妇俩跟儿子提起他的好朋友时陈华东的手指动了一下夫妇俩欣喜若狂继续与儿子沟通终于在昏迷5个月后陈华东清醒过来但此时的陈华东体重已从原先的80公斤瘦成了50公斤手脚也已变形生活不能自理据主治医生介绍陈华东属下丘脑损伤和特重型轴索损伤大部分人很难存活而生存下来的人也常是植物人像陈华东这种伤势严重却能够清醒过来的非常罕见,166,17,"[8, 14, 10, 7, 7, 2, 7, 7, 25, 6, 6, 7, 17, 8, 13, 18, 4]",[4],[[3]],"[[4, 3]]",而当而而但但但当而但但而但但因而但
1266,在现场张鹏兴奋地告诉妈妈自己已经通过了面试审核就等着面试了今年25岁的张鹏腼腆地说道我特别喜欢开车这次报了道里区的驾驶员岗位如果真的能考上不但能圆我的开车梦还能为城市的干净整洁贡献自己的力量而且我看到招考信息上面说不仅有事业编还可以为我们外地的考生落哈市户口我觉得这份工作真的特别好,141,12,"[3, 20, 6, 20, 13, 7, 9, 17, 12, 6, 16, 12]",[2],[[2]],"[[2, 2]]",而而但而但但但但但但但但
1267,因与女友分手而心生不快为发泄心中的怨恨竟盗窃棺材结果难逃牢狱之苦21日涉嫌盗窃的晏某被上高警方依法刑事拘留今年8月份晏某因女友与其分手而心生怨恨9月25日凌晨他驾驶一辆三轮车在县城上网结束后仍感郁闷烦躁就萌发了盗窃他人财物以求发泄的念头随后他在上高县锦江镇一寿材店内发现两副已做好的棺材价值4300余元随即将棺材装到车上并连夜运走,165,13,"[11, 13, 8, 3, 18, 5, 14, 7, 22, 17, 2, 31, 14]","[1, 7]","[[1], [7]]","[[1, 1], [7, 7]]",因因但与因而因但但但但而但因因但与因而因而但但但而但
1269,据了解光棍节当日同学们之间的短信交流同样热闹非凡内容也是创意无穷一位同学给东亚记者念了几条他收到的短信人生短暂自由可贵单身倍好光棍万岁恋爱不是比赛光棍不算公害他说在这个特殊的节日里能收到这样特殊的祝福他感到很快乐该来的总会来的爱情这东西强求不来的大二的孙同学说她并不是十分在意自己是单身虽然也渴望爱情同时也十分享受单身带给她的自由和快乐,168,21,"[3, 5, 16, 8, 19, 4, 4, 4, 4, 6, 6, 2, 9, 10, 6, 7, 10, 7, 13, 7, 18]",[15],[[14]],"[[15, 14]]",而而而而当但故但当但当但就就但但但而但但但
1270,在老人提醒下这对小夫妻也发现有些不对头原来两人平时都没有采取任何避孕措施在老人催促下秦剑和李琪一起到医院检查最终发现问题出在秦剑身上他患有精索静脉曲张症导致精液异常而致妻子不孕此后李琪一直陪同丈夫到处求医问药秦家二老看着他俩一次次地看病但毫无效果也越来越焦急原来秦家在当地极有声望且家产庞大如果此事传出去秦家的颜面会尽失左思右想二老想出了个馊主意,173,19,"[6, 13, 2, 15, 6, 12, 12, 10, 12, 16, 19, 6, 2, 9, 5, 7, 8, 4, 9]",[12],[[11]],"[[12, 11]]",就但但但就当但但或但而但但而而但而或但
1271,最终李琪暂时保守了这个秘密没过多久李琪的肚子竟然隆起秦剑发现后认为是治疗有了效果欣喜若狂儿子出生后秦剑更加勤奋工作一家人都很开心但唯独李琪的心里越来越纠结她觉得对不起丈夫但又不想见到老公公为了摆脱这样的尴尬她多次提出要搬出去住但秦剑很孝顺坚持一家人住在一起,128,18,"[2, 11, 4, 9, 5, 9, 4, 5, 8, 7, 8, 5, 8, 9, 9, 10, 6, 9]",[7],[[6]],"[[7, 6]]",但但但而当或更当而但但却但但就但但但
1272,昨日谈起自己在节目中的表现王雷还是很兴奋他说在南京待了一个星期收获很多一直想和两位主持人合影的他没想到录制节目时郭德纲主动凑到了他身边河南人就是实诚这句话郭德纲在他身边连说了几遍这段节目王雷从上午9点录制到下午2点录完节目在餐厅吃饭时他还受到了特殊待遇,126,17,"[2, 11, 7, 2, 9, 4, 13, 8, 11, 7, 3, 12, 4, 14, 4, 6, 9]",[3],[[2]],"[[3, 2]]",如当但但就但就但而但但但而而就当但
1273,李涛夫妇已是30多岁的人了在亲朋好友的劝说下他们又要了孩子令人高兴的是陈芳怀起了龙凤胎1998年陈芳顺利生产两个孩子的到来转移了李涛夫妇的注意力逐渐把精力放在两个孩子身上自从龙龙出事以后李涛不再做起早贪黑的肉摊生意腾出更多的时间照顾家庭他也因没有更多的时间照顾龙龙而感到内疚,137,14,"[13, 9, 7, 6, 8, 5, 6, 7, 11, 13, 8, 14, 11, 19]","[4, 14]","[[5], [14]]","[[4, 5], [14, 14]]",而但但更与由由当更但但但而但而但但更与由由当但而但但而但
1275,李涛介绍每当经过有水有桥的地方他都会想起儿子都会喊喊儿子的名字情不自禁的思念儿子当两个孩子长大一点的时候李涛一有空都会给子女讲述龙龙的事情让他们一定要好好学习听爸爸妈妈的话如今李涛的两个双胞胎孩子已经14岁了学习成绩好又非常聪明让夫妻俩十分欣慰夫妻俩想着一定要把两个孩子培养成才一家人生活得非常幸福,149,19,"[4, 6, 5, 7, 9, 9, 12, 5, 12, 10, 7, 2, 10, 6, 5, 5, 8, 17, 10]",[17],"[[15, 16]]","[[17, 15], [17, 16]]",由但就但但更而但但就就而与就但但更但但
1276,7月李涛夫妇从小女儿小月那里得到龙龙在英国留学的消息后高度警觉起来脑中的疑惑挥之不去即使15年前儿子没被淹死他又怎么到英国留学的下意识地夫妇俩觉得对方可能是骗子亲戚们也纷纷前来提醒经过多次试探核实夫妇俩最终确认该男子正是自己的儿子龙龙喜从天降夫妇俩及龙龙的奶奶喜极而泣从龙龙的口中夫妻俩终于了解到儿子奇迹般生还以及这些年来的种种经历,166,15,"[2, 25, 6, 21, 10, 4, 12, 10, 8, 19, 4, 13, 6, 8, 18]",[11],[[10]],"[[11, 10]]",由而就但而但但而但但故而就当当
1277,小学一年级时班上组织到翠屏山登山比赛李涛看见龙龙当时比较矮小肯定跑不过其他孩子便推着自行车提前在翠屏山的拐弯的半坡中等龙龙看见儿子来了一把把儿子抱上自行车顺势就从小路超了过去最后龙龙得了第二名高兴得合不拢嘴每一个问题龙龙都能答对每回答对一个问题李涛就给他竖大拇指,131,14,"[6, 12, 12, 9, 6, 16, 6, 10, 10, 9, 7, 11, 8, 9]",[11],[[10]],"[[11, 10]]",当由但但就就就就就但更但当而
1278,龙龙的妻子很孝顺也很体贴李涛夫妇非常喜欢这个外国儿媳妇夫妇俩从不与龙龙视频因为龙龙和养父生活在一起他们要顾及龙龙养父的感受李涛夫妇告诉记者知道龙龙现在还活着还这么有出息真的是非常高兴这件事是天大的喜事和好事,103,11,"[8, 4, 15, 10, 12, 12, 8, 9, 6, 7, 12]",[10],"[[8, 9]]","[[10, 8], [10, 9]]",而但而但而但而就就但而
1279,这家服装店跟隔壁的服装店都是某公司的自有品牌两家店从外面各有一个门但中间是相通的作为营业员王晓雪每天都生活在衣服中看着琳琅满目的衣服她也很喜欢但收入有限不可能把每件喜欢的衣服都买下来店里的钥匙没有专人保管平时就放在柜台第二天谁负责开门头一天晚上就把门锁好把钥匙带走开好门后还放在柜台这就给了王晓雪机会,150,15,"[22, 11, 7, 5, 12, 9, 5, 5, 15, 11, 7, 8, 15, 9, 9]",[7],[[6]],"[[7, 6]]",而而但或而就但但但但而但但但但
1280,南京浦口区乐府江南家园居民张大妈前天再次被困电梯她今年已经十多次被困了吓得她心有余悸地说这里的居民已经习惯性用手把电梯门扒开自救居民们几乎都选择走楼梯了原因很简单大家都被关怕了物业公司的工作人员表示动用公共维修基金更换电梯是一件麻烦事儿需要提出申请他们将再次把居民们的诉求反映给有关部门,143,10,"[24, 11, 29, 12, 5, 7, 11, 19, 6, 19]",[3],[[2]],"[[3, 2]]",而而更但故但但但但而
1281,通过详细询问民警与该男子家人取得了联系中午12时许男子的父亲和叔叔租车从耒阳赶到宜章服务区看着走失多日的儿子安然无恙其老父十分激动紧紧握着民警的手说儿子因为去年练习气功导致精神有点错乱一个多月前离家出走后家人四处寻找都没有一丝线索正当全家人都失去了信心的时候接到了高速交警的电话,139,12,"[6, 13, 6, 20, 13, 7, 9, 18, 10, 13, 14, 10]",[6],[[5]],"[[6, 5]]",但当但当但而但因但但但就
1282,当时几位穿着奇装异服的外国游客还在代步车租赁处合影看着他们身上逼真的血迹还真有点害怕这位工作人员说曾经有一位大学生告诉她活动的主题为僵尸快跑在国外万圣节前夕满街行尸走肉的情景早已见怪不怪万圣节是哪一天我还真不知道乘客张先生说在地铁8号线确实看到了身穿血衣的外国人当时真是愣住了受了重伤还能若无其事太稀奇了后来才知道原来人家是在过节,165,17,"[25, 11, 6, 7, 11, 10, 3, 5, 15, 7, 6, 6, 19, 7, 10, 4, 13]",[3],[[2]],"[[3, 2]]",而就但但但而但与但而但但但但但就但
1283,车主的弟弟因为和朋友喝了一场酒中途找了个地儿把奔驰车停下打车回家后竟然想不起到底将车停放在哪儿了寻找未果后焦急的车主在网上发了微博向广大网友寻求帮助,74,6,"[15, 13, 5, 15, 5, 21]",[6],[[5]],"[[6, 5]]",而但但但但更
1284,10月20日她与几个同事到太白县黄柏塬风景区游玩到七彩石景点拍照时秦女士本想从河边跨过去踩在石头上照相不想一脚踩空落入水中水流很急我又不会游泳心里很害怕我挣扎着却不断往下沉这时远处有个男的跑过来跳入水中第一下没把我拉住他也滑下河去呛了几口水第二下才将我紧紧拽住然后与其他人一起将我拖上了岸秦女士说回到家后她一直发烧但心里却惦记着那位见义勇为的小伙子被救上岸后我也蒙了只是简单地说了句谢谢留了电话就分手了,201,21,"[6, 18, 9, 18, 10, 4, 6, 5, 10, 15, 8, 11, 10, 14, 4, 4, 5, 17, 9, 10, 8]",[8],[[7]],"[[8, 7]]",如但就而却但但但但但但但但但但但但但但但但
1285,秦女士说回到家后她一直发烧但心里却惦记着那位见义勇为的小伙子被救上岸后我也蒙了只是简单地说了句谢谢留了电话就分手了一个陌生人能毫不犹豫地出手相救我很感动等身体彻底康复后一定要去宝鸡当面感谢他,95,11,"[4, 4, 5, 17, 9, 10, 8, 15, 4, 8, 11]",[9],[[8]],"[[9, 8]]",但但但但但但但但但但但
1286,工作人员还告诉记者在整个高唐县比汇鑫四合小学的师资情况更差的学校比比皆是为了进一步了解情况记者随后走访了高唐县多个镇级村级小学而在高唐县的很多农村小学校长们对学校老师匮乏的现状也是忧心忡忡提起找代课老师的经历这位校长感慨不已甚至频频挽留记者为孩子们代课,126,10,"[9, 6, 21, 9, 18, 12, 19, 10, 8, 14]",[7],[[7]],"[[7, 7]]",而而而而但因而当而但
1287,8年走访名医妻子终于怀孕生下一子儿子的出生让一家人喜出望外可好景不长孩子9岁时被确诊患尿毒症需要换肾身为父亲的周三明毫不犹豫地给儿子捐肾经过抽血化验匹对后最后医生的一句话血型基因均不一致让周三明蒙了原来因丈夫不能生育妻子在婆婆的授意下与他人偷偷生下一子妻子向周三明道出了埋藏在自己心底10年的秘密但最终还是逃不过离婚的命运,161,13,"[6, 10, 13, 5, 16, 18, 9, 22, 2, 7, 18, 22, 13]",[3],[[3]],"[[3, 3]]",当而而但当而但但但但而而但
1288,1992年2月两人通过亲戚介绍于当年12月26日登记结婚婚后的头两年小夫妻俩形影不离甚是羡煞村里其他的小夫妻然而让小夫妻俩焦急不安的是婚后两年张月的肚皮仍是平平的经过多次检查治疗确定是周三明精子存活率偏低的原因所致,107,11,"[7, 8, 13, 6, 8, 12, 2, 11, 14, 8, 18]",[8],[[9]],"[[8, 9]]",而而而但与更当更但但但
1289,被单位辞退后伺机回去盗窃为壮胆盗窃前要喝上半斤白酒因为盗窃顺利再次下手前一时高兴喝了1斤居然在盗窃现场就上了酒劲睡着了昨日犯罪嫌疑人张某对盗窃一事供认不讳被四方警方刑事拘留,86,9,"[12, 3, 10, 6, 13, 15, 2, 16, 9]",[5],[[4]],"[[5, 4]]",但因但如但但如但因
1290,同志们祝我今晚高速路上塞车吧昨天下午在南京某公司的文员蔡小姐在微博上如此祈求长假期间很多人因为被堵在高速路上而郁闷不已这假期结束前的最后一天怎么会有人祈求是被塞车在路上呢在被朋友跟帖询问后蔡小姐不好意思地说出理由原来是放假在家太舒服了实在不想上班若是被堵在高速上就有了正当理由不去上班,142,13,"[3, 11, 4, 20, 21, 11, 15, 9, 12, 11, 6, 8, 11]",[5],[[5]],"[[5, 5]]",与但而而因而但就而但但但但
1291,被夺走手机的年轻人找来了猴园的饲养员饲养员对肇事的猴子厉声训斥猴子的爪子一松手机从10米多高的位置直接摔在了地面上看到自己的手机彻底报废男青年气愤不已要求饲养员赔偿昨日上午记者联系到了本溪平顶山猴园园方的工作人员表示男青年回家后取来了手机的发票最终园方按照发票上面的价格全额赔偿了对方的损失,145,12,"[18, 13, 7, 19, 11, 7, 7, 4, 13, 9, 14, 23]",[6],[[5]],"[[6, 5]]",而当如但当而但但当但当但
1292,昨日8时许邱爹爹一时性起瞒着家人驾驶一辆电动车出门途中因邱爹爹对电动车的驾驶技术知之太少手握在电动车电量开关上不断加速导致电动车在沿着张柏公路上越开越快看着电动车无法控制邱爹爹吓得胆战心惊但无计可施这时前方道路上躺着一块石头邱爹爹眼睁睁看着电动车一头撞了上去大约十几分钟后43岁的居民刘爱国从此经过他见邱爹爹躺在地上昏迷不醒当即打电话报警求助柏泉派出所民警接到报警后迅速赶到出事地点将不省人事的邱爹爹送往医院抢救,206,21,"[5, 7, 4, 9, 2, 17, 15, 17, 9, 9, 5, 2, 11, 17, 7, 13, 13, 9, 12, 8, 15]",[10],[[9]],"[[10, 9]]",但但却却而但当而就当但而而但但而当但而便便
1293,邹女士父母收到的是该公司第一笔发出的奖金收到奖金后老人非常开心地给邹女士打去电话公司发的孝敬父母奖我们收到了原来邹女士工作的这家位于清江东路的企业管理公司从今年6月开始设置孝敬父母奖对于工作满3个月并且没有违反公司规定的正式员工每个月给他们的父母汇款1000元若员工父母已故则汇给配偶的父母,145,12,"[20, 5, 15, 9, 5, 2, 28, 7, 8, 15, 23, 8]",[3],[[2]],"[[3, 2]]",而当而由但但而更但但但或
1294,每天6点之前起床中午1个小时午睡晚上11点半回家然后再自习到凌晨2点除了睡觉时间其他时候他都在学习这样算下来张瞳瞳每天只有5个小时的睡眠如此高负荷的学习张父也心疼不已张瞳瞳说他之所以这么努力所有的动力皆源于一处——早点学有所成,113,13,"[8, 8, 8, 10, 6, 9, 5, 14, 8, 7, 4, 8, 18]",[10],[[9]],"[[10, 9]]",但但但但但而就而而而但而而
1295,千万不能耽搁学生看病对这件事学校只有一个态度——给学生看好以后学校会抓紧安全问题提高学生的安全防范意识操场上的小球门十一来了就固定好看着病床上的儿子曹师傅忧心忡忡他是商洛人现在西安打工孩子母亲在孩子很小的时候就去世了大女儿现在西安一大学上大二家里情况本就不好现在更是雪上加霜儿子出事后他就四处筹钱但有些徒劳,153,18,"[10, 4, 15, 2, 9, 11, 7, 8, 8, 7, 5, 6, 16, 13, 8, 8, 11, 5]",[10],[[9]],"[[10, 9]]",但但但但但如而而但而但但但因但而当但
1296,原来小雯的父母长年在外打工在恩阳镇购置了商品房她和弟弟由外公照顾但是小雯不思学业整天沉溺于上网经常逃课家里给的钱不够用小雯为此非常苦恼觉得待在恩阳没前途决定和朋友小英到成都发展但苦于没钱两人一番商议后导演了这起绑架案,108,14,"[2, 11, 10, 9, 8, 7, 4, 8, 8, 9, 12, 5, 7, 8]",[9],[[8]],"[[9, 8]]",但而便由但但但但而总便但但却
1297,在父亲的开导下张成告诉父亲当日喝酒是因为那天是他的生日由于思念自己生母张成7岁丧母并且因为住校不能回家与家人一起庆祝生日备感郁闷才买了一瓶红星二锅头自己偷偷喝掉并把酒瓶藏在了床下随后张成和父亲再次找到秦老师承认错误但秦老师表示张成必须写检查还要当着全班同学的面念检查,133,13,"[7, 6, 14, 14, 19, 4, 10, 6, 9, 2, 16, 13, 13]",[6],"[[4, 5]]","[[6, 4], [6, 5]]",但但而因但但但却但但但但但
1298,这位工作人员说无论是罐装的还是塑料瓶装的碳酸饮料都不可放在冰箱冷冻在产品的外包装上都标有提示禁止加热或0℃以下冷冻但是家长没有注意到这一点结果发生了这样的意外他们也觉得痛心随后上海百事可乐公司发来书面回应对此次因消费者将罐装碳酸饮料产品冷冻而导致的不幸事件我们向当事人及家属表示深切慰问,143,11,"[7, 6, 20, 24, 12, 10, 7, 2, 14, 26, 15]",[7],[[6]],"[[7, 6]]",但但但而但但但但但因但
1299,事发前一位游客提议让图克站到鳄鱼旁边好让他们拍照留念图克好心答应没想到却遭到鳄鱼的突然袭击这突如其来的情形让游客们震惊不已但没等大家反应过来可怜的图克就已经丧命当地官员奥古斯丁·提亚姆表示政府部门将会引入更严密的安全措施避免类似的悲剧再次发生,121,9,"[3, 23, 19, 16, 9, 10, 14, 16, 11]",[4],[[4]],"[[4, 4]]",而而因而如而但而而
1300,7月13日晚上不甘心的胡杰再次找到女友并用身上仅有的数百元带着女友在夫子庙好好地逛了一下吃了顿大餐可是女友去意已决最终扔下伤心的胡杰走了人财两空遭受双重打击的胡杰精神崩溃了他胡乱地在雨中走着一直从夫子庙乌衣巷步行到了太平门附近这时他看到张女士一个人在路边行走一时糊涂便掏出随身携带的小水果刀实施了抢劫这也最终解开了民警心中的谜团,164,15,"[7, 12, 25, 5, 2, 6, 11, 4, 14, 9, 18, 2, 14, 21, 14]",[7],[[6]],"[[7, 6]]",而但但但但与但但而但就而当但而
1301,医生告诉她如果这种材料扩散至下肢脚踝膝盖等部位很可能导致皮肤破溃坏死而且目前不排除该材料致癌的可能性兰小姐愤怒地表示这些美容院太不负责了当时说的天花乱坠连注射物是什么物质也没说清楚就被拉上手术台自己年纪尚小还看到其他女孩在做手术就贸然接受了手术她告诫即将做整形的女孩要慎重选择整形机构,142,13,"[5, 18, 11, 16, 8, 10, 8, 21, 6, 11, 8, 11, 9]",[5],[[6]],"[[5, 6]]",但但或但而但但就因但但但但
1302,小芳说她有家不能回一个人孤苦伶仃随着胎儿越来越大行动越来越不方便如果没人照顾她不知该如何生活丈夫和公公婆婆的行为让她感到很伤心她几次想到轻生记者希望与阿福当面聊聊阿福的母亲与阿福取得了联系阿福在电话中说我和她的感情已破裂不能在一起了要这个孩子还是不要这个孩子她自己决定反正现在不能让小芳回家,145,16,"[3, 6, 7, 8, 8, 6, 8, 17, 7, 11, 13, 16, 6, 13, 5, 11]",[8],[[8]],"[[8, 8]]",但但但但但但但而但当但但就但由但
1303,小芳见到丈夫阿福后泪流满面地哀求说我知道你是爱我的你能照顾我把孩子生下来吗我一个人真的没法活下去阿福说我不可能亲自来照顾你你说要多少钱吧小芳听了阿福的话显得非常伤心在记者的劝说下她情绪才稳定下来无奈之下小芳盘算了一下房租每个月500元请人照顾每个月1200元自己和孩子的生活费每个月1500元小芳要求阿福每个月支付3200元生活费,165,14,"[25, 5, 7, 11, 13, 7, 14, 7, 8, 4, 16, 12, 17, 19]",[7],[[7]],"[[7, 7]]",但但就而但但而但但但但但而但
